City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
2729907,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,10.36
2012530,Zhigansk,RU,66.7697,123.3711,76.39,51,98,8.52
2065594,Mount Isa,AU,-20.7333,139.5,80.37,17,27,18.41
3837056,San Luis,AR,-33.295,-66.3356,50.83,75,60,3.18
372753,Kassala,SD,15.451,36.4,78.21,71,74,17.65
2399697,Libreville,GA,0.3925,9.4537,77.02,88,40,9.22
1106677,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,75,11.5
2387546,Bozoum,CF,6.3193,16.3799,68.7,94,100,4.27
778707,Mehamn,NO,71.0357,27.8492,69.91,68,40,4.61
1267390,Kavaratti,IN,10.5669,72.642,82.78,79,100,20.96
3492997,Samaná,DO,19.2056,-69.3369,79.0,88,20,11.65
5528182,Pecos,US,31.4229,-103.4932,78.28,57,1,9.22
3495137,Pedernales,DO,18.0384,-71.744,80.31,72,85,5.88
2068655,Katherine,AU,-14.4667,132.2667,91.72,27,93,3.44
1650434,Bambanglipuro,ID,-7.95,110.2833,67.6,64,65,11.95
2027316,Ayan,RU,56.45,138.1667,56.21,97,100,10.74
3165584,Tolmezzo,IT,46.4075,13.0175,72.72,70,1,3.33
3921141,Charagua,BO,-19.8,-63.2167,58.48,83,0,3.51
2208791,Yafran,LY,32.0633,12.5286,77.38,34,0,8.68
1489656,Teya,RU,60.3778,92.6267,63.46,45,86,10.74
1071296,Antalaha,MG,-14.9003,50.2788,75.47,66,12,9.89
3445026,Vila Velha,BR,-20.3297,-40.2925,60.75,94,0,4.61
2077895,Alice Springs,AU,-23.7,133.8833,74.21,21,0,11.99
299900,Talas,TR,38.6908,35.5538,66.87,60,0,5.75
3946820,Barranca,PE,-10.75,-77.7667,61.14,84,17,6.2
3893629,Coquimbo,CL,-29.9533,-71.3436,49.73,93,0,2.3
3883457,Lebu,CL,-37.6167,-73.65,50.79,90,100,7.74
1056899,Sambava,MG,-14.2667,50.1667,73.92,62,5,8.95
1244926,Hambantota,LK,6.1241,81.1185,89.94,74,40,10.36
6541176,Agropoli,IT,40.3469,14.9966,80.62,53,4,4.43
3082756,Ustka,PL,54.5805,16.8619,65.44,74,7,5.84
964712,Plettenberg Bay,ZA,-34.0527,23.3716,69.19,29,0,10.74
908718,Maamba,ZM,-17.3667,27.15,58.95,64,0,3.02
2112309,Katsuura,JP,35.1333,140.3,77.09,94,100,6.67
258175,Lixouri,GR,38.2019,20.4314,75.2,94,20,0.0
64013,Bosaso,SO,11.2842,49.1816,91.38,43,0,27.63
2208091,Waitara,NZ,-38.925,174.25,48.99,73,58,19.44
726384,Topolovgrad,BG,42.0833,26.3333,74.64,68,1,9.53
1819729,Hong Kong,HK,22.2855,114.1577,88.65,76,14,8.99
2071860,Esperance,AU,-33.8667,121.9,60.64,65,87,19.62
3984997,San Quintín,MX,30.4833,-115.95,66.52,82,38,6.17
1693303,Pitogo,PH,13.7847,122.0881,87.4,66,16,4.34
1806591,Hutang,CN,31.5333,119.4833,73.53,92,100,7.34
5710035,West Wendover,US,40.7391,-114.0733,90.61,13,1,10.36
5935341,Dauphin,CA,51.1494,-100.0502,53.74,76,75,3.44
2742416,Barcelos,PT,41.5388,-8.6151,56.46,88,30,4.29
515805,Oktyabr'skoye,RU,43.0645,44.7417,66.34,83,75,2.24
2136150,Luganville,VU,-15.5333,167.1667,79.45,78,68,8.57
2112802,Hasaki,JP,35.7333,140.8333,75.06,89,100,3.06
2145554,Ulladulla,AU,-35.35,150.4667,58.73,67,99,6.69
292223,Dubai,AE,25.2582,55.3047,97.29,38,2,12.66
730518,Kavarna,BG,43.4333,28.3333,72.88,90,20,11.5
934322,Mahébourg,MU,-20.4081,57.7,75.49,73,75,11.5
1259385,Port Blair,IN,11.6667,92.75,85.64,73,99,15.84
